seed_identity_id,n_counterfactuals,n_pairs,n_disagree,pairwise_flip_rate,auditor,task
ff000303,12,66,53,0.803030303030303,deepface,age
ff007545,12,66,58,0.8787878787878788,deepface,age
ff008694,12,66,56,0.8484848484848485,deepface,age
ff008833,12,66,52,0.7878787878787878,deepface,age
ff011819,12,66,54,0.8181818181818182,deepface,age
ff012186,12,66,56,0.8484848484848485,deepface,age
ff016033,12,66,54,0.8181818181818182,deepface,age
ff016693,12,66,53,0.803030303030303,deepface,age
ff019953,12,66,54,0.8181818181818182,deepface,age
ff021169,12,66,62,0.9393939393939394,deepface,age
ff023670,12,66,56,0.8484848484848485,deepface,age
ff026403,12,66,56,0.8484848484848485,deepface,age
ff027712,12,66,50,0.7575757575757576,deepface,age
ff028711,12,66,49,0.7424242424242424,deepface,age
ff035110,12,66,60,0.9090909090909091,deepface,age
ff035248,12,66,59,0.8939393939393939,deepface,age
ff035981,12,66,60,0.9090909090909091,deepface,age
ff037986,12,66,60,0.9090909090909091,deepface,age
ff038941,12,66,58,0.8787878787878788,deepface,age
ff041878,12,66,60,0.9090909090909091,deepface,age
ff043044,12,66,58,0.8787878787878788,deepface,age
ff043888,12,66,54,0.8181818181818182,deepface,age
ff044193,12,66,59,0.8939393939393939,deepface,age
ff044208,12,66,57,0.8636363636363636,deepface,age
ff044973,12,66,55,0.8333333333333334,deepface,age
ff048890,12,66,55,0.8333333333333334,deepface,age
ff049352,12,66,56,0.8484848484848485,deepface,age
ff050464,12,66,55,0.8333333333333334,deepface,age
ff050916,12,66,53,0.803030303030303,deepface,age
ff051058,12,66,53,0.803030303030303,deepface,age
ff054320,12,66,59,0.8939393939393939,deepface,age
ff058323,12,66,45,0.6818181818181818,deepface,age
ff060906,12,66,56,0.8484848484848485,deepface,age
ff061429,12,66,51,0.7727272727272727,deepface,age
ff061818,12,66,61,0.9242424242424242,deepface,age
ff062389,12,66,59,0.8939393939393939,deepface,age
ff063574,12,66,57,0.8636363636363636,deepface,age
ff064626,12,66,57,0.8636363636363636,deepface,age
ff065804,12,66,59,0.8939393939393939,deepface,age
ff067518,12,66,56,0.8484848484848485,deepface,age
ff068327,12,66,54,0.8181818181818182,deepface,age
ff069904,12,66,52,0.7878787878787878,deepface,age
ff070684,12,66,49,0.7424242424242424,deepface,age
ff072973,12,66,52,0.7878787878787878,deepface,age
ff073707,12,66,59,0.8939393939393939,deepface,age
ff074148,12,66,58,0.8787878787878788,deepface,age
ff074786,12,66,61,0.9242424242424242,deepface,age
ff075614,12,66,60,0.9090909090909091,deepface,age
ff082228,12,66,57,0.8636363636363636,deepface,age
ff086362,12,66,52,0.7878787878787878,deepface,age
